"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"161",-0.0752,-0.27599999,881,64231,51734,-0.128,-0.0337,0.00606,4903185,-0.0626,1
"162",-0.0763,-0.278,835,64835,51734,-0.128,-0.0328,0.00679,4903185,-0.0626,1
"163",-0.083,-0.28099999,851,65427,51734,-0.129,-0.032,0.0075,4903185,-0.0643,1
"164",-0.0872,-0.289,840,66146,51734,-0.129,-0.0311,0.00819,4903185,-0.0643,1
"165",-0.0814,-0.28299999,780,66705,51734,-0.13,-0.0303,0.00884,4903185,-0.0643,1
"166",-0.0777,-0.28299999,806,67781,51734,-0.13,-0.0296,0.00943,4903185,-0.0643,1
"167",-0.0765,-0.287,786,68761,51734,-0.131,-0.0288,0.00994,4903185,-0.0643,1
"168",-0.0827,-0.29100001,761,69560,51734,-0.131,-0.0282,0.0104,4903185,-0.0643,1
"169",-0.0821,-0.289,773,70246,51734,-0.132,-0.0275,0.0108,4903185,-0.0584,1
"170",-0.0797,-0.285,767,70796,51734,-0.133,-0.027,0.0111,4903185,-0.0551,1
"171",-0.0758,-0.28200001,767,71517,51734,-0.133,-0.0264,0.0114,4903185,-0.0551,1
"172",-0.0758,-0.273,786,72204,51734,-0.134,-0.0259,0.0117,4903185,-0.0535,1
"173",-0.073,-0.27000001,755,73067,51734,-0.135,-0.0253,0.0119,4903185,-0.052,1
"174",-0.0692,-0.25799999,733,73895,51734,-0.136,-0.0247,0.0121,4903185,-0.052,1
"175",-0.0618,-0.252,740,74740,51734,-0.136,-0.0241,0.0124,4903185,-0.0495,1
"176",-0.0547,-0.255,708,75205,51734,-0.137,-0.0235,0.0126,4903185,-0.0495,1
"177",-0.0593,-0.25299999,708,75755,51734,-0.138,-0.0228,0.0129,4903185,-0.0495,1
"178",-0.0644,-0.25099999,705,76453,51734,-0.139,-0.0221,0.0132,4903185,-0.0509,1
"179",-0.0638,-0.248,717,77220,51734,-0.14,-0.0214,0.0136,4903185,-0.0525,1
"180",-0.0622,-0.249,724,78136,51734,-0.141,-0.0208,0.014,4903185,-0.0539,1
"181",-0.0633,-0.25600001,727,78984,51734,-0.142,-0.0202,0.0145,4903185,-0.0553,1
"182",-0.0641,-0.257,718,79767,51734,-0.143,-0.0196,0.0151,4903185,-0.0553,1
"183",-0.0702,-0.26300001,729,80311,51734,-0.145,-0.0191,0.0157,4903185,-0.0553,1
"184",-0.0667,-0.26899999,711,80733,51734,-0.146,-0.0187,0.0163,4903185,-0.057,1
"185",-0.0538,-0.27000001,748,81688,51734,-0.148,-0.0183,0.017,4903185,-0.0556,1
"186",-0.0559,-0.27000001,720,82261,51734,-0.149,-0.0181,0.0176,4903185,-0.054,1
"187",-0.0619,-0.271,712,83119,51734,-0.151,-0.0178,0.0182,4903185,-0.0512,1
"188",-0.0803,-0.26199999,791,84519,51734,-0.153,-0.0177,0.0188,4903185,-0.047,1
"189",-0.0758,-0.257,821,85517,51734,-0.154,-0.0176,0.0193,4903185,-0.0445,1
"190",-0.0738,-0.23899999,871,86406,51734,-0.156,-0.0175,0.0197,4903185,-0.0474,1
"191",-0.0957,-0.294,893,86981,51734,-0.158,-0.0174,0.02,4903185,-0.0609,1
"192",-0.118,-0.213,863,87730,51734,-0.159,-0.0173,0.0203,4903185,-0.0488,1
"193",-0.077,-0.21600001,912,88643,51734,-0.161,-0.0173,0.0204,4903185,-0.052,1
"194",-0.0845,-0.199,1016,90232,51734,-0.162,-0.0173,0.0205,4903185,-0.0549,1
"195",-0.0727,-0.199,1022,91672,51734,-0.0541,-0.0515,-0.0145949479381443,4903185,-0.0563,1
"196",-0.0729,-0.19400001,1084,93102,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0663,1
"197",-0.0902,-0.20100001,1188,94723,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0663,1
"198",-0.101,-0.214,1226,95564,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0629,1
"199",-0.083,-0.21600001,1325,97002,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0601,1
"200",-0.107,-0.226,1408,98501,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0553,1
"201",-0.104,-0.229,1484,100619,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0524,1
"202",-0.0879,-0.23199999,1648,103211,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0524,1
"203",-0.0808,-0.23100001,1787,105609,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0449,1
"204",-0.0668,-0.234,1803,107343,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0449,1
"205",-0.0591,-0.23800001,1870,108656,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0466,1
"206",-0.0719,-0.252,1913,110393,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0466,1
"207",-0.058,-0.24600001,1968,112276,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0482,1
"208",-0.0527,-0.24699999,2018,114743,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0511,1
"209",-0.0743,-0.25,2021,117355,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0511,1
"210",-0.0839,-0.25400001,2091,120249,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0536,1
"211",-0.0817,-0.248,2165,122498,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0565,1
"212",-0.0867,-0.249,2238,124320,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0582,1
"213",-0.0928,-0.25,2336,126744,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.061,1
"214",-0.103,-0.193,2414,129172,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0642,1
"215",-0.0963,-0.269963084327103,2490,132176,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0642,1
"216",-0.0802,-0.269963084327103,2520,134996,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0656,1
"217",-0.0781,-0.269963084327103,2538,138018,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0706,1
"218",-0.078,-0.269963084327103,2492,139941,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0706,1
"219",-0.0741,-0.269963084327103,2494,141780,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0689,1
"220",-0.0719,-0.269963084327103,2449,143886,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0675,1
"221",-0.067,-0.269963084327103,2458,146376,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0659,1
"222",-0.0629,-0.269963084327103,2491,149613,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0659,1
"223",-0.0456,-0.269963084327103,2548,152831,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0659,1
"224",-0.0485,-0.269963084327103,2533,155752,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0609,1
"225",-0.0616,-0.269963084327103,2641,158426,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0609,1
"226",-0.0681,-0.269963084327103,2696,160655,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0659,1
"227",-0.0551,-0.269963084327103,2893,164137,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0623,1
"228",-0.117204449339207,-0.269963084327103,3009,167441,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0639,1
"229",-0.117204449339207,-0.269963084327103,3124,171480,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0653,1
"230",-0.117204449339207,-0.269963084327103,3260,175652,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0681,1
"231",-0.117204449339207,-0.269963084327103,2843,175652,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0756,1
"232",-0.117204449339207,-0.269963084327103,2461,175652,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0843,1
"233",-0.117204449339207,-0.269963084327103,3217,183177,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0877,1
"234",-0.117204449339207,-0.269963084327103,3394,187898,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0891,1
"235",-0.117204449339207,-0.269963084327103,3541,192225,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0907,1
"236",-0.117204449339207,-0.269963084327103,3482,195853,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.095,1
"237",-0.117204449339207,-0.269963084327103,3547,200479,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0978,1
"238",-0.117204449339207,-0.269963084327103,4212,205139,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.0486,1
"239",-0.117204449339207,-0.269963084327103,4752,208917,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"240",-0.117204449339207,-0.269963084327103,4134,212116,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"241",-0.117204449339207,-0.269963084327103,834.886595833333,11477,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"242",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"243",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"244",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"245",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"246",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"247",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"248",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"249",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"250",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
"251",-0.117204449339207,-0.269963084327103,834.886595833333,50696.2904564315,51734,-0.174063641025641,-0.0651280717948718,-0.0145949479381443,4903185,-0.096008613445378,1
